,0,1,2,3
47," I got like lesbian. I didn't get like, you know me, I sacrifice, I felt queer in the sexuality side of things. I didn't know that necessarily know like in the south end, but I guess this is like the wrong thing to do with speculate on. Who I know. I understand it. Just, you know, sometimes it's like it's hot it with some others, like it like, it's hot it with your brother at 2.",465.0,488.0,220326_001_me.wav
48, How to win.,490.0,492.0,220326_001_me.wav
49," Oh, yeah, it's going to be great.",493.0,496.0,220326_001_me.wav
50," People of art more formal in Sweden and they aren't, I feel like most places in the world, see America as an extremely informative.",497.0,504.0,220326_001_me.wav
51," But it's also if that's true, but it's like a little crap thing, you know, somehow it's like a little like how it doesn't matter. You can just like by a bunch of think satisfy your desires. I don't know.",505.0,520.0,220326_001_me.wav
52, I'm not sure what I'm saying.,521.0,523.0,220326_001_me.wav
53, I don't know what I'm saying and have washing machines. Didn't have washing machines.,523.0,528.0,220326_001_me.wav
54, You can't answer me. Put you really put your nose a deep into it.,536.0,541.0,220326_001_me.wav
55, What does it mean? But what the heaven? I don't know. What does it mean for something to have? A sour smell in the united mean? I think we just using a taste.,550.0,560.0,220326_001_me.wav
56, Beautiful. I am woken up yet.,574.0,577.0,220326_001_me.wav
57, Do you drink your cold brew?,580.0,582.0,220326_001_me.wav
58, The violence will kick in soon.,585.0,587.0,220326_001_me.wav
59, We need out of this diet coke. You don't drink that that Library.,588.0,595.0,220326_001_me.wav
60," Has any needs to be music, wants to be by me.",610.0,614.0,220326_001_me.wav
61, Someone with a condition mean.,630.0,634.0,220326_001_me.wav
62, I got window Round Table.,635.0,638.0,220326_001_me.wav
63, Is this time?,668.0,670.0,220326_001_me.wav
64, When how many people are in the library?,682.0,685.0,220326_001_me.wav
65, People in the library. It's a city.,685.0,688.0,220326_001_me.wav
66, Find a spot. The song called.,755.0,758.0,220326_001_me.wav
67," FaceTime, cuz he tries.",771.0,773.0,220326_001_me.wav
68," Yeah, let's go to the basement, then. Maybe we should head up a college classroom.",773.0,779.0,220326_001_me.wav
69, When I go in like a lot somewhere for a while.,779.0,783.0,220326_001_me.wav
70, But it is really hot.,807.0,811.0,220326_001_me.wav
71, Windows.,816.0,820.0,220326_001_me.wav
72, Lane doesn't know either.,822.0,825.0,220326_001_me.wav
73, I think Frozen books Rising now.,825.0,828.0,220326_001_me.wav
74, I like the air conditioning broken something.,833.0,836.0,220326_001_me.wav
75," We, we just need to adjust and we'll be fine.",840.0,844.0,220326_001_me.wav
76, Sounds like the Stables because it's so bright.,844.0,847.0,220326_001_me.wav
77, It's very like walking.,848.0,851.0,220326_001_me.wav
78, Caffeine.,869.0,870.0,220326_001_me.wav
79, I'm in the tub drain that goes. Everybody have stopped. I just found this on your ground.,874.0,879.0,220326_001_me.wav
80," Oh, yeah, they're addicted to turning up me to take the two at 2. I was not drinking and I cook some clothing.",880.0,885.0,220326_001_me.wav
81, Since I'm this and ordering at restaurants in.,885.0,889.0,220326_001_me.wav
82, Special diet.,890.0,892.0,220326_001_me.wav
83, Self.,892.0,894.0,220326_001_me.wav
84," It's like, it's like, not good.",905.0,911.0,220326_001_me.wav
85," It's just like yes, I get toothpaste, like using toothpaste.",911.0,915.0,220326_001_me.wav
86, Would you like a good cuz like out?,915.0,918.0,220326_001_me.wav
87, It's so right? And my I'd like to larious.,921.0,925.0,220326_001_me.wav
88, Maybe we just cooling down from the heat little bit.,952.0,955.0,220326_001_me.wav
89,"The Baton Rouge or you're bumming, respectable, more down-to-earth, people rely to borrow some of your ticket in, to all know how, I'll step it up and good loaf of bread basket, basketball gold medal, for this really cool at any given time ago, with that got, so, rather than I see thinking and producing anything of value, the chance bar, some relation sake. The contract of capitalism is Sean's bar, Symon, Lisa, new poll from all about exploiting somehow Into Me and Bobby are bullies again.",3.0,54.0,220401_002_me.wav
90,"It's not found, it's not fake. I thrown into fake or non-existing, things. Nothing to do with it, You need to make it down. Y'all are Saint Gennaro. I love songs by the coolest thing that you could do Papa. Truly carry a ready, pop you looking several of them. Easy thing is to buy, use your connections as you do will bought us some or are you still have left it after they got a massive, a stalker?",59.0,111.0,220401_002_me.wav
91,"Okay, the wrong no more stress. You can just leave the rest in the human heart and nothing Stewart's Poland. Funny people. He's ever met think that divides into Duvall Duvall. Truly not used to being a jerk and you coming artists notch.",117.0,174.0,220401_002_me.wav
92,What's the weather?,173.0,175.0,220401_002_me.wav
93," What is that referring to do for the cash that selfie that Anthony? Yeah, but for sure, for sure when I come and look at it all done in different system become a iPhone. Instagram is a new faces.",175.0,227.0,220401_002_me.wav
94," Suburban the middle of a city in hunting Beast, vah Federal, guesstimate burn the hardest to make you pay me some to say, you left him inside of a beauty Mania Del Norte songs by the band on this office, and I love it. I'll figure it out of the old song.",235.0,290.0,220401_002_me.wav
95," Hanson Tire, total liberal stance up watch something with the Hennessy. Only last time Los Angeles play any song right hand man.",295.0,345.0,220401_002_me.wav
96," If I didn't think I'm still on my wrap it up in a relation educational system, State, supplemental, too hard and millions and millions of villages. Papa some company, in a Buddhist to cities in North Gordon place on the song, Beat it. I'm so lonely cat.",355.0,411.0,220401_002_me.wav
97," Ding Dongs. Have the Kingston Jamaica rate Papa from travel and something to the old man from Camping World. In Clinton New Hindu nationalism, 100 + 200 million.",415.0,455.0,220401_002_me.wav
98," Skip that songe. Now on call me to come in the house on December. Now. It's all becoming conscious of the best the best time I can come, get the most good. You can do some songs not involved in processing. Everything that can go in the most amount of a good for.",463.0,524.0,220401_002_me.wav
99," Greatest number of people on Stan's Indian Ubisoft channel. Number is the amount of growth of the amount of possibility with much less money. From stopping said, pick him up.",523.0,572.0,220401_002_me.wav
100," Paris Hilton week, 15 in Quad. So I could be get out of Hunan or the matter whom nothing a big bar at all. I built this for North for the chance to meet the gentleman. I am no saint to me about it. The more experienced a l, i g n. All of them, the stools hardships, some leave it to me to leave at Target.",583.0,638.0,220401_002_me.wav
101," If a student has teeth have to stop yesterday. Okay, you're hot and mild. It's me some specially now that the supposition station. So, whatever Community some, and I feel like I'm outside of time outside of the Mars. I'm the only one laughing my head.",643.0,693.0,220401_002_me.wav
102," So sick of being, and all who have? I cannot get it over with you. I cannot wait back yacht. Yacht yacht can chat about it. I'll shoot it. Dance off music.",693.0,745.0,220401_002_me.wav
103," Find some, a do nothing after this. I meant. Yeah. Yeah, ain't that y'all ain't fancy. The song. Tell me a company in Port and some top, top institutions. We need heart for it. When your body, what what else is a task for me?",753.0,804.0,220401_002_me.wav
104, Don't let me hear any names of Mario Stewart. Topography topological map of New Mexico. Topographic side Hills or some stories. I'm out La Familia from New York.,813.0,855.0,220401_002_me.wav
105," Thrown off about history, Todd.",873.0,876.0,220401_002_me.wav
106, Is Dad Valley. The closest Papa?,878.0,882.0,220401_002_me.wav
107, That man is not your billing divorce in this horrible thing.,883.0,906.0,220401_002_me.wav
108, But for two different children will have to do.,909.0,914.0,220401_002_me.wav
109," Yabba, yabba do some Tom Waits until 2. So I'm going to take care of its own accounting tomorrow.",918.0,968.0,220401_002_me.wav
110, Pessimistic Sahara.,978.0,982.0,220401_002_me.wav
111, Beach Boys. Beds.,1041.0,1044.0,220401_002_me.wav
112, Being so enormously thunder in Denton.,1045.0,1049.0,220401_002_me.wav
113, Play mat.,1058.0,1060.0,220401_002_me.wav
114, It's a lot of dents in our socks and not ticket for.,1071.0,1097.0,220401_002_me.wav
115, I haven't been able to hang out in elevator.,1097.0,1101.0,220401_002_me.wav
116," I bet the Posse some insigne, Posse some hundred days till graduation time, the LA going to go tan, single still.",1120.0,1134.0,220401_002_me.wav
117," Are you still going to go up for it? And single-party, semester MC supposed to go up?",1137.0,1145.0,220401_002_me.wav
118," 90 got 10 end and I haven't come to see us all. Okay, love me already. And going in the Agora tape. Give me the fastest walking the most of my life then it's all the bus drivers. I don't need no respect for it. And I bought driver of the bus. I'm done for the way that long long songs by some horrible, So are you cook for two losses? At in this instant?",1145.0,1197.0,220401_002_me.wav
119," Securitas security lady today out fighting fish store in today, but you drink yourself unconscious.",1205.0,1247.0,220401_002_me.wav
120, But you remember that we parked at the team's text message. I'm sorry to have left me lying to themselves facing.,1254.0,1269.0,220401_002_me.wav
121," Lhasa, Apso Sonia, Galant envelopes on the River Valley.",1281.0,1306.0,220401_002_me.wav
122, The Tick. Yeah.,1317.0,1319.0,220401_002_me.wav
123, Is it joke really? Text Jason lit. Felipe's summon on the pasta in the hall and,1319.0,1348.0,220401_002_me.wav
124," I have multi and University bought a handsome, sexy University. Obviously the exact about the best tool for applying for the conservation. I'll be your conservation. Land company is sponsoring a little demon. There's nothing I can do about that. Jesus.",1348.0,1404.0,220401_002_me.wav
125, How did you get?,1411.0,1414.0,220401_002_me.wav
126, I mean in English from your non-singing similar.,1419.0,1423.0,220401_002_me.wav
127," All they have to do the stairs today, Valley meal plan. So you'll all get out any more planet.",1429.0,1458.0,220401_002_me.wav
128," I bought a DMC full form of offering to Rochester, New York.",1458.0,1472.0,220401_002_me.wav
129, Who stole second waist wining and dining? Thank you.,1492.0,1520.0,220401_002_me.wav
130," Honey, Aldi in hand. Some call me how to make the inside of heel.",1532.0,1550.0,220401_002_me.wav
131," Means to administer flow mist or jobs when you're never ever at big but it's okay. I mean, I know not to trust the hide whatever but them out of the box. So you'll have to let y'all have a listing for a teen model. T Model. T model of me to come to stations, will do a logic pro do at. This is me. This is how I this is whatever. This is how this is silence. He's annoyed by me at 10:30 about to be dropped off time for Monday, at 10 for Rapha.",1561.0,1605.0,220401_002_me.wav
132, This watch nice watch the beans to signal to guess. I'll get some y'all haven't got that first. Take okay.,1622.0,1639.0,220401_002_me.wav
133," Yes, to come. And thank you.",1650.0,1656.0,220401_002_me.wav
134,"There's a very concise, you know part of the reason is that they have so much for the Europeans. They have the vacation. Yeah. I know everybody fits, you know, I mean",0.0,27.0,220312_004_me.wav
135," I think it's not just that, but I was thinking of things are looking more, like so concerned about like, you know, like that you show me different culture surrounding them all the time as they used to some of that difference. You know, I'm not like a very extremely helpful person in Europe. I don't think, you know, this is kind of, I mean, so I think that's the reason why it's like, from the very young age or like very used to like traveling like a hundred like him, a bunch of different country, like lack of like been a few people at like this unhappy.",33.0,84.0,220312_004_me.wav
136," Looks like it might increase isn't like benefits of stuff. Won't like the Germans are extremely productive, but I don't think that our ambitious, the very ladylike closed-minded in the way that like a bit more like, like off. And I don't know that. Yes, okay.",84.0,127.0,220312_004_me.wav
137," I don't like better than not very expressive in times, episode of, like expressing an enjoyment in life systems and like everyone like thinking and like a systems away Rod, like a family and friend, like personal gratification know, I'm personal gratification is like, not like meaning and I ought to, but most people aren't like most people are just, I'm really whatever and that's a hole in like meaning and I think that's why I like ideologies. Take root in German like that. You don't have the family to set up like to know and you don't have that. You don't have them, you know, and you know it",129.0,182.0,220312_004_me.wav
138," Culture is like America, like off the wall.",189.0,196.0,220312_004_me.wav
139," I think I think it's more of that. Like you couldn't America's continually trying to repent in the officer that they were at the frontiers of science isn't necessarily the help of civilization motions. And we were like we don't like what you think about or considered a right about all the shit that's going on. Like elsewhere like this is colonialism. I just I just I just I don't I don't like I mean, I just do things that way. I can only talk and extremely extremely European Centric, history of things, like eating anything.",203.0,256.0,220312_004_me.wav
140, You know what? I don't listen. Just listen.,259.0,263.0,220312_004_me.wav
141," Let's go inside. My thing is like yes, I agree in terms of that. So that's what I've been through. All that supposed to die is like London yet, cuz I'm coming to like a loss of. And then she was like, oh, you know, it's like it's like a description of the lived experience.",266.0,288.0,220312_004_me.wav
142," I didn't like the concrete realities of like, European, European, whatever that was like, it very much. So I can be there soon to talk to you cuz I thought, you know, all these things like not realities or like, even let you know. For a lot of people from most of the people. I think part of the reason. That's why we don't like the thing is like a lot of those. And it like came from like a fusion ratings. I just feel like it looks like a confirmation bias things that we like recognize that which we are familiar with like a constantly sort of like picking up the phone, everything that was familiar with everything else that makes this place this text.",292.0,343.0,220312_004_me.wav
143," European then. Yes, you can. You know, that? I made this place this place. You know, that we don't recognize and haven't learned about and the ethos enzymes to watch inside of a culture. And deep-rooted said it like everything.",352.0,381.0,220312_004_me.wav
144," Now, you know, that's the thing is. I think there's probably a lot of folks right against. I just I just, I just want, you know, the history of the posterior, you know, it just kind of like I wasn't mad. I was not in not you I'm not sure of wine from the house now. I was just back and then and then we'll take one becomes a burden.",382.0,431.0,220312_004_me.wav
145, How to make a Honda Spree like it.,442.0,444.0,220312_004_me.wav
146, A delicious.,451.0,453.0,220312_004_me.wav
147, Delicious.,454.0,456.0,220312_004_me.wav
148," Oh, delicious.",459.0,460.0,220312_004_me.wav
149, What's resource bonus?,471.0,473.0,220312_004_me.wav
150, How spicy is the experienced players play in Chains number?,476.0,482.0,220312_004_me.wav
151, Desert from the second row. So tell me about weave.,504.0,507.0,220312_004_me.wav
152, I like this little Side Street Inn.,521.0,524.0,220312_004_me.wav
153, I can be.,526.0,528.0,220312_004_me.wav
154," And you seem to have like similar growth path in the air. When the initial stages, like the whole of pizza place that I also like the rolls.",537.0,563.0,220312_004_me.wav
155, What is a pretty good?,568.0,571.0,220312_004_me.wav
156, Poop is Tompkins bank. I do do that money.,575.0,586.0,220312_004_me.wav
157, Let me see some sheep. I love them.,593.0,596.0,220312_004_me.wav
158, We just leave it somewhere where we can only operate this thing that this board up my debit card.,603.0,629.0,220312_004_me.wav
159," I actually trade you in on trade, you in.",647.0,651.0,220312_004_me.wav
160, Do you know who's this?,652.0,656.0,220312_004_me.wav
161," Think of the city, but I can give you an a for first. If they got a row. Is it me?",660.0,674.0,220312_004_me.wav
162, Build a city.,675.0,677.0,220312_004_me.wav
163," Go for the ships, Matt.",678.0,681.0,220312_004_me.wav
164, You all like pretty good engine. Do you got the eight on the six? I don't think about the fact that were on the same resources.,689.0,699.0,220312_004_me.wav
165, Anime sheep.,712.0,715.0,220312_004_me.wav
166, Do you have any I need? I need to give this helps me. What do you want to part with that? I'll trade back to.,730.0,758.0,220312_004_me.wav
167, For the good.,757.0,770.0,220312_004_me.wav
168, Rain.,771.0,773.0,220312_004_me.wav
169," Hey, man. Yeah, we just like to keep him in the mainland totally his ability ability to actually.",811.0,838.0,220312_004_me.wav
170, I can go die in hell.,846.0,850.0,220312_004_me.wav
171," Yeah, you're done. But you want to spend that weed into a pot of gold, bro. Can I trade you a sheet for two weeks and that for two weeks, as sheep sheet for one. We talked like we have to scale. You see how he's getting like ridiculous amounts of the scales.",867.0,909.0,220312_004_me.wav
172, Text Jesus Christ has resources.,925.0,929.0,220312_004_me.wav
173, What's up people off? The island has man. It went to stop building ships.,930.0,945.0,220312_004_me.wav
174, As many as he wants to see his resources. Like no. No.,951.0,960.0,220312_004_me.wav
175," Yo, I don't like this guy for Simons.",966.0,979.0,220312_004_me.wav
176," I never try to justify, got to thank you for",988.0,990.0,220312_004_me.wav
177, I'm going to build some of the crazy ships right now. What what city would probably be good. You couldn't go in the city. That was so stupid like the Lost thing.,993.0,1022.0,220312_004_me.wav
178," Like, you don't do, like, just the cons randomly, a bad idea.",1023.0,1030.0,220312_004_me.wav
179," What has been role for the past? Three crazy, how there have been no Island?",1038.0,1044.0,220312_004_me.wav
180, Conviction.,1049.0,1051.0,220312_004_me.wav
181," That's the only can I get to Picante East resources? No, no, no. No. No. You want. I can see I can see that you finally gold sex. I don't quit news saying, yes, I know.",1060.0,1115.0,220312_004_me.wav
182," A different, what I can do.",1128.0,1130.0,220312_004_me.wav
183,What's on Church?,20.0,22.0,220324_005_me.wav
184," Beautiful. He's really counting on. This is really like powerful. That's why I was all about pretty much prison reform and shit like that and he was going around like the man-made until I've gotten, it was a he just he was a beautiful, don't make it so it's like it's like the music was fantastic and all the shops were great as like as everything's going. Great guy. He's like one of those people who just like unbelievably Suave just right. So so he's like,",33.0,72.0,220324_005_me.wav
185," He's pretty, he's pretty little thing. Is that like heavy stuff?",72.0,76.0,220324_005_me.wav
186, Really? It's really funny though. Sometimes.,90.0,103.0,220324_005_me.wav
187, Sea anemone.,106.0,108.0,220324_005_me.wav
188," Time to go to do things. He's back together with re but he's not he thinks he's back together with already, but he's not. I would like to practice back together cuz I would like to look like everyday. I'm just like yeah, that doesn't mean she's nice of. You got to be really clear about what it means. When you",110.0,129.0,220324_005_me.wav
189, He got like anxious and walked away Rave tomorrow.,132.0,138.0,220324_005_me.wav
190," The race tomorrow I want to see I'm like, so it's not like we don't we were happy about it at the same time. I'm like, no, I'm feeling. Like I'd really don't want to go. I know but it says is oh, so it was like probably about a person.",138.0,153.0,220324_005_me.wav
191," Yeah, I know, but we know.",154.0,156.0,220324_005_me.wav
192," Yeah, we're going to have to double up in the Simon has remained constant to cheated on him, And also she's going to go back to bed.",166.0,183.0,220324_005_me.wav
193," do they come around 8, I mean,",184.0,190.0,220324_005_me.wav
194," No, it's okay. He was just like the way he isn't.",198.0,204.0,220324_005_me.wav
195," That's a right to just write in his in his heroics. He wrote 22novels cuz he was why he was reading through and I'll go on like what? I'm reading the viewing like looking at the other way. But it's like he's not it wasn't so well at all, but it cuz his dad walked in like an oil in an oil rig. I'd like a walk on the way already and I was talking to all these people and everything. I thought and I need like the books that have like a fiction about set of this like throw rag type thing. They wasn't like it was a bit like hard to understand. Sometimes that's probably cool.",204.0,245.0,220324_005_me.wav
196, He's friends with someone on one of the people inside of the song. He's coming. He's like there's positive him that I really like. There's a positive him that I just can't stand. Get some really hot takes that would like it.,245.0,266.0,220324_005_me.wav
197, Kind of beer.,266.0,268.0,220324_005_me.wav
198," I know it's going, we can't always do what they have to house meeting people. Arguing about it.",269.0,276.0,220324_005_me.wav
199, The lane drum.,282.0,285.0,220324_005_me.wav
200, I hit it three times.,285.0,289.0,220324_005_me.wav
201, Really? I have not seen that bounce like ever.,293.0,297.0,220324_005_me.wav
202, I want to see that.,299.0,301.0,220324_005_me.wav
203, We have to get married to this year.,301.0,303.0,220324_005_me.wav
204, I'd love to do it when I call your parents that you late. That might be too late salon.,305.0,310.0,220324_005_me.wav
205," Are you going to start and clock? Like, if you want to do a job? Why would you be?",322.0,327.0,220324_005_me.wav
206, Toilet Time.,333.0,335.0,220324_005_me.wav
207, Incredible.,339.0,341.0,220324_005_me.wav
208, Buck was the official shooter.,346.0,349.0,220324_005_me.wav
209, Skyrim book.,365.0,367.0,220324_005_me.wav
210," Creepy, beautiful.",370.0,373.0,220324_005_me.wav
211, I know.,377.0,379.0,220324_005_me.wav
212, Beautiful.,388.0,392.0,220324_005_me.wav
213, Run for me to where is going to be. So fucking fun with me. I have to order.,396.0,402.0,220324_005_me.wav
214," Hey sunshine. Do you want me to do? We should regardless of whether you know, of know, if you going to go to a program or not? We should order just the tickets to dolly or wherever we're going to fly into and then we can just get that's going to be the expensive one that's going to go up in price and we can figure out all the rest.",415.0,431.0,220324_005_me.wav
215," I know but like what if what if you want to like, if it for instance, if you are going to go to the Jaipur, you going to want to like, you know, for the program that would change.",431.0,442.0,220324_005_me.wav
216," We can do that, right? That's why it makes sense, but I didn't want to be with you and then deal for like the whole of it we can we can like make a whole leg. But I feel like if we're that for like a long enough time, we'll be able to a compliment as a little better.",445.0,461.0,220324_005_me.wav
217, Play the best food culture.,470.0,472.0,220324_005_me.wav
218," Oh my God, I would kill that.",477.0,481.0,220324_005_me.wav
219, I know.,484.0,485.0,220324_005_me.wav
220, We can get so many tea bags.,489.0,493.0,220324_005_me.wav
221, Let's go everywhere. But I was wondering like living for a while to replace you.,503.0,510.0,220324_005_me.wav
222, Race traitor to the race cuz you're with a African American.,528.0,534.0,220324_005_me.wav
223," Really have to do work, but I really just want to cuddle.",542.0,545.0,220324_005_me.wav
224, But we're not going to get much work done.,562.0,564.0,220324_005_me.wav
225, My house was.,570.0,575.0,220324_005_me.wav
226," Because listen to problem is that, I don't know why I couldn't. So I want to go to a house, but then I'm not going to lucky. You will have a fever.",581.0,590.0,220324_005_me.wav
227, In the past few days.,591.0,593.0,220324_005_me.wav
228, India incredible India will see you look so sexy. I wish I could say.,597.0,607.0,220324_005_me.wav
229, We can just go for a minute just like McLaughlin. I got sound so much better than walk.,615.0,621.0,220324_005_me.wav
230," Do you want to go home? Let's go get me to the phone. Is that if you do an hour of what I feel like will feel justified in going home and not doing any thoughts and now we'll still be stressed. Walk Vibes at your house. Cuz the thing is that when we stay here for an hour and we've done this before and go back, you know that we just feel justified in like don't do any walk. Have a cold brew. I need a fucking cold brew.",621.0,647.0,220324_005_me.wav
231," Okay, my thing is that we go to your house then we know each other accountable.",654.0,658.0,220324_005_me.wav
232, 100%. Go to you. Go to that guy. Take the bed. I love the badass. Not love to try it.,660.0,668.0,220324_005_me.wav
233, Diesel watch sometimes.,669.0,671.0,220324_005_me.wav
234," She wasn't picking it was a great relief. Us, a really funny. I wish I could win.",675.0,681.0,220324_005_me.wav
235, I think.,686.0,687.0,220324_005_me.wav
236," Are you going to see that? The thing is is is at the way that I can, what she's experiencing the store if I'm of that.",687.0,694.0,220324_005_me.wav
237," I'm no, I think she's just grappling with the fact that she's dating.",701.0,707.0,220324_005_me.wav
238," I think she's just starting to Grapple with, you know, you and I don't like me and less than you.",710.0,717.0,220324_005_me.wav
239, Turn mean.,717.0,719.0,220324_005_me.wav
240, Not as an I don't like this person. Yeah.,719.0,723.0,220324_005_me.wav
241," I mean you had the shit even the shit he said, like.",724.0,728.0,220324_005_me.wav
242, XVI number.,728.0,730.0,220324_005_me.wav
243, If you showed his true colors.,731.0,734.0,220324_005_me.wav
244," I would like that persons in a good person or he doesn't, he's not strong enough to be a good person or thing is that I do miss 45, bad person who who is, who is at least stand understands what I'm doing, you know.",735.0,749.0,220324_005_me.wav
245," He's like, cuz his the thing is, he because of he's ignorant about it. You can just like, it, be dumb and bad, and all these different things.",751.0,759.0,220324_005_me.wav
246," And that would have been a lot, you know.",769.0,773.0,220324_005_me.wav
247, What you mean?,783.0,784.0,220324_005_me.wav
248, That's why I always work. Buy it when it's parked outside here on this road. It's on this road.,785.0,794.0,220324_005_me.wav
249," I'm talking to people, you know, that's beautiful long time.",802.0,807.0,220324_005_me.wav
250, I've seen the lights go out in so many times.,809.0,812.0,220324_005_me.wav
251," I do smell orange blossoms. Miss want this lovely? Yeah, I really like the temperature at night, too.",813.0,823.0,220324_005_me.wav
252," How about this? If the Shopkins that we shall, if it's not, then we walk.",823.0,828.0,220324_005_me.wav
253," And take you to take any bonfires and Grandpa shots are all a suit pants length because of no. Cuz my fascial ever with when I was like, 7 and I was, I knew it was like, you know, a late night on the Harvest to the Harvest, you have to come for how they make a mess in our hands, like, and then like, they was, I have like, you know, would like old grilled everything like,",831.0,863.0,220324_005_me.wav
254, Can everything and that everyone everyone's us getting like super drunk because of like everything. Can you walk away? And everyone's like sometimes got really angry at him for giving me a message and he was laughing.,863.0,879.0,220324_005_me.wav
255," Yeah, and I got I got like the entire thing became like locked into missed because of that because everything was kind of like hazy and the spots with flying off and so do you know, do you know? I mean, I was like kind of a little drunken something. Casting.",880.0,895.0,220324_005_me.wav
256," But it's, it's like totally different stuff with people during the wine season.",898.0,905.0,220324_005_me.wav
257, I know. I feel like I still recovering from those trips.,916.0,922.0,220324_005_me.wav
258, We'll do it. We'll do it. We'll do as good walk Vibes as we can. And as we can this weekend.,924.0,931.0,220324_005_me.wav
