,sentence,sentence_confidence,start_time,end_time,date,original_audio
31, Your persona. Continue to keep Loving Her Today.,0.9294727444648743,0 days 00:05:11.900000,0 days 00:05:17.300000,11/18/21,211118_001_others.wav
32," But if I do things as close a Facebook wants to do with John messimer some of your close friend died or something, and they have so much information and virtual reality.",0.9151313900947571,0 days 00:05:18.600000,0 days 00:05:34.700000,11/18/21,211118_001_others.wav
33, And ended sort of my point about also dislike quote on quote the immortality project from the point of view of others.,0.8395025134086609,0 days 00:05:43.700000,0 days 00:05:53.100000,11/18/21,211118_001_others.wav
34," Obviously, it wouldn't for yourself, right? But also, did they get from actions that you I shall act like you?",0.8205041885375977,0 days 00:05:55.200000,0 days 00:06:11.300000,11/18/21,211118_001_others.wav
35, Left alone if they actual events movie.,0.7694250345230103,0 days 00:06:18.800000,0 days 00:06:21.600000,11/18/21,211118_001_others.wav
36, Give me like you just need to come by.,0.8263882398605347,0 days 00:06:31.400000,0 days 00:06:35.600000,11/18/21,211118_001_others.wav
37, An odd possible.,0.5317921042442322,0 days 00:06:46.900000,0 days 00:06:48.900000,11/18/21,211118_001_others.wav
38," like,",0.7340328097343445,0 days 00:06:51.500000,0 days 00:06:52,11/18/21,211118_001_others.wav
39," No, it's not a good idea. But I don't care if it's going to be so interesting. I mean, the philosophical elements. I mean at once, in some way from the technical in the back is done. So it's like the technological wild which is going to be",0.9334807395935059,0 days 00:06:53.300000,0 days 00:07:13.800000,11/18/21,211118_001_others.wav
40, You know. I'm like a normal swing.,0.7847760915756226,0 days 00:07:21.100000,0 days 00:07:23.700000,11/18/21,211118_001_others.wav
41, There is actually some competitive market.,0.6140965819358826,0 days 00:07:29,0 days 00:07:32.300000,11/18/21,211118_001_others.wav
42," My definition by the level of complexity of the thing. Milton implementations today, you can have like a, you know, to program is IOS and Android on a different implementation by death runs.",0.9429084658622742,0 days 00:07:34.200000,0 days 00:08:01.100000,11/18/21,211118_001_others.wav
43," Really, really pretty much.",0.3986435532569885,0 days 00:08:12.700000,0 days 00:08:16.600000,11/18/21,211118_001_others.wav
44, Call Husband cell.,0.3357967436313629,0 days 00:08:29.300000,0 days 00:08:30.800000,11/18/21,211118_001_others.wav
45, On something that relies.,0.8923593759536743,0 days 00:08:32.500000,0 days 00:08:35.300000,11/18/21,211118_001_others.wav
46," Unbelievable, you know, I am leaving in some way. Like I only bought the data from the",0.894533097743988,0 days 00:08:39.700000,0 days 00:08:52.900000,11/18/21,211118_001_others.wav
47, the language. Do they talk cuz he collects in the state.,0.7582036852836609,0 days 00:09:05,0 days 00:09:09,11/18/21,211118_001_others.wav
48, I'd like let you have my company. I can Minecraft right that you have from the seaside.,0.8617764115333557,0 days 00:09:09.900000,0 days 00:09:14.100000,11/18/21,211118_001_others.wav
49, Wright's Towing.,0.8028081655502319,0 days 00:09:23.500000,0 days 00:09:24.300000,11/18/21,211118_001_others.wav
50," about, you know,",0.7780670523643494,0 days 00:09:32.200000,0 days 00:09:33.200000,11/18/21,211118_001_others.wav
51, I got myself a ride with you event.,0.6358157396316528,0 days 00:09:43.500000,0 days 00:09:56.700000,11/18/21,211118_001_others.wav
52," I wouldn't be surprised if we having this conversation in 10 years from now, instead of right now.",0.9302016496658325,0 days 00:09:59.900000,0 days 00:10:06.700000,11/18/21,211118_001_others.wav
53, Yes.,0.47527825832366943,0 days 00:10:08.800000,0 days 00:10:12.400000,11/18/21,211118_001_others.wav
54, What's the stock? My thesis has taught me. It's just looking pointed me in.,0.7683635354042053,0 days 00:10:16.400000,0 days 00:10:24.400000,11/18/21,211118_001_others.wav
55, Just because it's at me.,0.8266540765762329,0 days 00:10:27.200000,0 days 00:10:28.300000,11/18/21,211118_001_others.wav
56, by means of a low probability to some of these,0.8723847270011902,0 days 00:10:29.600000,0 days 00:10:31.900000,11/18/21,211118_001_others.wav
57," The team does might be interesting for like to do the research on this. But I think you would like to do at the know after graduation is collect and collect thing, you know, but my thing is like a",0.9078946113586426,0 days 00:10:39.700000,0 days 00:10:57.800000,11/18/21,211118_001_others.wav
58," Like the metadata about your current status on the, on the outside.",0.9042382836341858,0 days 00:10:59.300000,0 days 00:11:07.900000,11/18/21,211118_001_others.wav
59, The facts. Do you know?,0.3716507852077484,0 days 00:11:23.100000,0 days 00:11:27.200000,11/18/21,211118_001_others.wav
60, What you saying doing voice?,0.7591215968132019,0 days 00:11:28.400000,0 days 00:11:30.300000,11/18/21,211118_001_others.wav
61, The continent.,0.5090052485466003,0 days 00:11:38.200000,0 days 00:11:39.200000,11/18/21,211118_001_others.wav
62," To create a variable that will be later, use to interpret that contact will just make the whole thing.",0.924186110496521,0 days 00:11:40.900000,0 days 00:11:54.300000,11/18/21,211118_001_others.wav
63, You would need to use.,0.8660780191421509,0 days 00:12:04.300000,0 days 00:12:05.900000,11/18/21,211118_001_others.wav
64," Probably like a ver, a house monitor calculate ideal a some other stuff. Like you could do know if you if you could have one of those things that measures different chemicals in your body. That would be pretty cool composite different heart rate, you know, across. If it's on the same time line, I can ask you something.",0.9394150376319885,0 days 00:12:07.800000,0 days 00:12:38.100000,11/18/21,211118_001_others.wav
65," If you are because that's a great idea. Thank you, on this. It is a problem of witches antenna problem with like a minute. The same problem babe for the police garage is getting off because the one thing that could potentially The Interpreter.",0.8884225487709045,0 days 00:12:48,0 days 00:13:18.200000,11/18/21,211118_001_others.wav
66," Do you have a Roseville and the violent easily by just like to say, you know, measuring?",0.7699740529060364,0 days 00:13:21.200000,0 days 00:13:31.600000,11/18/21,211118_001_others.wav
67," Then the voltage between the two of your finger connected to your, to the right of you smelling.",0.8258772492408752,0 days 00:13:34.900000,0 days 00:13:43.400000,11/18/21,211118_001_others.wav
68," Maurizio. Like, even though heart rate or blood pressure lisinopril or is it today the problem?",0.8660575151443481,0 days 00:13:44.600000,0 days 00:13:54.900000,11/18/21,211118_001_others.wav
69, Another factor is.,0.9748700261116028,0 days 00:14:04.600000,0 days 00:14:09.600000,11/18/21,211118_001_others.wav
70, Review board to do it.,0.7278528213500977,0 days 00:14:13.300000,0 days 00:14:17.300000,11/18/21,211118_001_others.wav
71, Is a little bit another.,0.6819106340408325,0 days 00:14:19.700000,0 days 00:14:20.700000,11/18/21,211118_001_others.wav
72, Use if I write it using it free.,0.6775830388069153,0 days 00:14:23.300000,0 days 00:14:27.100000,11/18/21,211118_001_others.wav
73, It's really hard that you can't even call.,0.7977129220962524,0 days 00:14:43.400000,0 days 00:14:49.700000,11/18/21,211118_001_others.wav
74, Without explicitly asking for permission.,0.9102191925048828,0 days 00:14:51.300000,0 days 00:14:53.800000,11/18/21,211118_001_others.wav
75," Which in my opinion is stupid. Because I mean, I also don't see a reason why you couldn't believe, I'd have any microphone here and recording this conversation, without you knowing and without you allowing for it. However, the phone call. I'm stupid to me if it's already recorded. The only thing is that you",0.9463682174682617,0 days 00:14:56.700000,0 days 00:15:19.500000,11/18/21,211118_001_others.wav
76, I am wondering.,0.6673088073730469,0 days 00:15:26.400000,0 days 00:15:27.400000,11/18/21,211118_001_others.wav
77, Effectively.,0.9245247840881348,0 days 00:15:29.600000,0 days 00:15:30.400000,11/18/21,211118_001_others.wav
78," What's a mole of yourself to your current type of people, but which is perhaps you out come from that. But using this input s controls.",0.9010860919952393,0 days 00:15:31.300000,0 days 00:16:01.300000,11/18/21,211118_001_others.wav
79," Just like the model is still on that. If you're talking to this conversation with models of a career with them, you can download.",0.8358051180839539,0 days 00:16:02.300000,0 days 00:16:17.300000,11/18/21,211118_001_others.wav
80," Model, A",0.3561111390590668,0 days 00:16:27.800000,0 days 00:16:28.500000,11/18/21,211118_001_others.wav
81," If you need to develop the model of the other person as well, what the real am I thinking? He'll go to be that?",0.8620765209197998,0 days 00:16:37.900000,0 days 00:16:48,11/18/21,211118_001_others.wav
82," Control Data for you, because the problem is that each response on its own and call. However, in order to stuff at the actual and, you know, broken control in the context of August communicating",0.9018385410308838,0 days 00:16:49.100000,0 days 00:17:11.400000,11/18/21,211118_001_others.wav
83, Something less fascinating. That one? Are you going to?,0.862690806388855,0 days 00:17:18.600000,0 days 00:17:24.200000,11/18/21,211118_001_others.wav
84, I broke my phone on but completely works perfectly except for the screen is that?,0.954306960105896,0 days 00:17:30.300000,0 days 00:17:37.200000,11/18/21,211118_001_others.wav
85," So like, for example, the touch Fame is still very much alive. You can just be blind from memory, unlock it.",0.9193399548530579,0 days 00:17:39.400000,0 days 00:17:52.900000,11/18/21,211118_001_others.wav
86," And allow for the ritual. Okay. So if I like connected to this thing, they would be enough to get me like a drop down menu of. You know, what I want to do. I want to just talk or do I want to allow the computer to access, you know, I removed first. I open it because I drove down here and like,",0.9111246466636658,0 days 00:17:53.900000,0 days 00:18:34.500000,11/18/21,211118_001_others.wav
87," so I was like, okay, fuck and my",0.9503188729286194,0 days 00:18:41.600000,0 days 00:18:44.900000,11/18/21,211118_001_others.wav
88," my backup phone. I was like, okay, I will be just using backup phone and then I will be buying something perhaps you'd like to know the Black Friday. H. Turns out that the backup phone doesn't really work.",0.8880202174186707,0 days 00:18:46.900000,0 days 00:19:03.500000,11/18/21,211118_001_others.wav
89, And Larkin.,0.7215251922607422,0 days 00:19:09.300000,0 days 00:19:10.100000,11/18/21,211118_001_others.wav
90, I like okay fuck I need something and I had like those I don't want the Chinese phone.,0.921732485294342,0 days 00:19:11.100000,0 days 00:19:17.700000,11/18/21,211118_001_others.wav
91," 12, South of like a typical reasons and practical reasons, the Practical beings of, for violin couple months ago, actually found that in some models.",0.8905627727508545,0 days 00:19:19.600000,0 days 00:19:33.800000,11/18/21,211118_001_others.wav
92, There is software which in the European version is not activated. In theory could be activated. They the content of anything on your phone.,0.9250745177268982,0 days 00:19:34.700000,0 days 00:19:44.400000,11/18/21,211118_001_others.wav
93," So like, you know, where you you might have?",0.7555930018424988,0 days 00:19:45.700000,0 days 00:19:47.800000,11/18/21,211118_001_others.wav
94, You might be using like VP and and Google or anything. I'm like the massacre and read them first and just,0.7965996861457825,0 days 00:19:49.200000,0 days 00:20:02.400000,11/18/21,211118_001_others.wav
95," Promise. I'm not even talked to him up like, you know, saving the date of Chinese whole night from a non-chinese company. Then at least like the majority Kelly goes to her instead of the design of the production and then the axilla of completion of",0.86922287940979,0 days 00:20:04.800000,0 days 00:20:31,11/18/21,211118_001_others.wav
96," All the money just goes by. So obvious, it is. And I also I'm fucking hate. Like there's no cheese and pesos thing.",0.8869274258613586,0 days 00:20:31.600000,0 days 00:20:39.700000,11/18/21,211118_001_others.wav
97," And some options are very limited from Sony and I was like, oh my God.",0.9566873908042908,0 days 00:20:46.100000,0 days 00:20:53.800000,11/18/21,211118_001_others.wav
98, Everything I've owned it and more.,0.8264956474304199,0 days 00:20:55,0 days 00:20:58.100000,11/18/21,211118_001_others.wav
99," Looks like okay, whatever I go to buy like that little remote 11 / is like the lover. They don't have anything in between Remodel and then like this reason, nothing in between.",0.8959903717041016,0 days 00:21:01.200000,0 days 00:21:17.100000,11/18/21,211118_001_others.wav
100, Who founded in United States?,0.7457528114318848,0 days 00:21:18.300000,0 days 00:21:22.500000,11/18/21,211118_001_others.wav
101," And I need it to buy the way I go to DMV and obviously, like, you know, I can get Uber from 5. I hear, but I can do, I couldn't get back. Is it like, a LG? Write, feel like it official to be coffee?",0.8842928409576416,0 days 00:21:27.800000,0 days 00:21:46,11/18/21,211118_001_others.wav
102, What do I mean? Have the this vehicle have to be very long?,0.7969560623168945,0 days 00:21:52.400000,0 days 00:21:57.700000,11/18/21,211118_001_others.wav
103," Oh my God, what the fuck holyshit?",0.8810006380081177,0 days 00:22:09.100000,0 days 00:22:22.500000,11/18/21,211118_001_others.wav
104, That a novice. So you can be you can be also.,0.9083598852157593,0 days 00:22:24.100000,0 days 00:22:27.500000,11/18/21,211118_001_others.wav
105, It's because you're awesome phone. Normally whatever he has this. Love is got the way. I have to think Carson. That's because there's actually I just fought for it. It's just working.,0.8570722341537476,0 days 00:22:38.400000,0 days 00:22:58.400000,11/18/21,211118_001_others.wav
106, I need content and I need a ride today. I have no problem and I need it like two.,0.7731866240501404,0 days 00:22:59.900000,0 days 00:23:10.600000,11/18/21,211118_001_others.wav
107, Bye.,0.47746774554252625,0 days 00:23:12.400000,0 days 00:23:12.800000,11/18/21,211118_001_others.wav
108," Tickets for fear to play in the Czech Republic. They wouldn't accept my American car. So I needed to, you know, use my European one which week.",0.8955101370811462,0 days 00:23:14.700000,0 days 00:23:23.400000,11/18/21,211118_001_others.wav
109," Which office are check number? So I actually needed to this was during caused by the run from the class to my room, get like SIM tray. A Content area. Am I?",0.9178903102874756,0 days 00:23:25.300000,0 days 00:23:38.100000,11/18/21,211118_001_others.wav
110," So, I mean it's it's the text messages. So you need to have it connected to phone. Second of all windows smell like I can text from my phone.",0.9296779632568359,0 days 00:23:41.400000,0 days 00:23:58.900000,11/18/21,211118_001_others.wav
111, But it's not like that. It's not like the messages would be going directly to fix your computer. So I would still have to have like a cop running somewhere.,0.8950374722480774,0 days 00:24:00,0 days 00:24:17.700000,11/18/21,211118_001_others.wav
112," So that's going to be just like annoyingly complicated solution. Lovely on this living. I mean, this is going to be extremely 90°.",0.8719228506088257,0 days 00:24:18.700000,0 days 00:24:44,11/18/21,211118_001_others.wav
113," So you can be recording like you can be holding in like this and recording like, you know by screen, but not the only thing.",0.8768097162246704,0 days 00:24:45.500000,0 days 00:24:55.200000,11/18/21,211118_001_others.wav
114," Yo, what's your fault? What the fuck. Same?",0.808372974395752,0 days 00:25:06.600000,0 days 00:25:19.400000,11/18/21,211118_001_others.wav
115," Oh my God, it like a recording. This is yo, what the fuck?",0.8534606695175171,0 days 00:25:20.500000,0 days 00:25:28.300000,11/18/21,211118_001_others.wav
116," by the way, if you can",0.9274128079414368,0 days 00:25:35.200000,0 days 00:25:39.400000,11/18/21,211118_001_others.wav
117," and it could be a you'll be you'll be credited as soon as I can. I would love to but you know, that's like a reading and so",0.9302569627761841,0 days 00:25:40.200000,0 days 00:25:56.700000,11/18/21,211118_001_others.wav
118, Call staff.,0.5248770117759705,0 days 00:25:59.200000,0 days 00:26:00,11/18/21,211118_001_others.wav
119," Primer mascara on your off time because of engineering wise. However, we have the Washington University in st. Louis.",0.8256427049636841,0 days 00:26:07,0 days 00:26:32.600000,11/18/21,211118_001_others.wav
120, Vietnam to be like even let you know they have like three cuz it's like five students. So they really want us to come there.,0.9214223623275757,0 days 00:26:34.100000,0 days 00:26:50.700000,11/18/21,211118_001_others.wav
121, I'm sorry. Mission is almost guaranteed unless you like I get to spend it in the next Colombia even though actually very,0.8917352557182312,0 days 00:26:51.700000,0 days 00:27:07.400000,11/18/21,211118_001_others.wav
122," Very nice in case oil, in England, you know, Financial light. I essentially told us that pretty much what we are having here. They would give us there.",0.8502238988876343,0 days 00:27:09.500000,0 days 00:27:22.200000,11/18/21,211118_001_others.wav
123, Reply.,0.7973486185073853,0 days 00:27:24.500000,0 days 00:27:26.600000,11/18/21,211118_001_others.wav
124," Google drink. I mean like who they have this thing. That is so yeah, right? Like a discount. And if I don't do nothing for me, I mean, 50,000 it still 25 Grand years that are moms. Do you know?",0.8189640045166016,0 days 00:27:30.300000,0 days 00:28:21,11/18/21,211118_001_others.wav
125, Let me.,0.7705503702163696,0 days 00:28:22.200000,0 days 00:28:23.300000,11/18/21,211118_001_others.wav
126, Whose are these like a Hayabusa? They give?,0.7075030207633972,0 days 00:28:27.300000,0 days 00:28:30.100000,11/18/21,211118_001_others.wav
127, Which might be especially because you're going to be probably going there were interested on you also a residence because most of the time in by federal law.,0.8752665519714355,0 days 00:28:31.700000,0 days 00:28:51.900000,11/18/21,211118_001_others.wav
128, Maya. And I'm getting a room. I want to give you a. I'll support you.,0.8306695818901062,0 days 00:28:56.700000,0 days 00:29:11.600000,11/18/21,211118_001_others.wav
129, Stream late night. Love you.,0.9142130613327026,0 days 00:29:14.100000,0 days 00:29:15.500000,11/18/21,211118_001_others.wav
130, I will just for sort of like a,0.7503470778465271,0 days 00:29:18.100000,0 days 00:29:21.600000,11/18/21,211118_001_others.wav
131, try to avoid something like that.,0.971473217010498,0 days 00:29:24.300000,0 days 00:29:27.200000,11/18/21,211118_001_others.wav
132," stay with me even be like, you know, if you can with me like",0.8760833740234375,0 days 00:29:28.500000,0 days 00:29:43.600000,11/18/21,211118_001_others.wav
133, Why am I available Sunday Circle? Public School?,0.7265058755874634,0 days 00:29:46.800000,0 days 00:29:50.800000,11/18/21,211118_001_others.wav
134, Some programs helping students. And I brought.,0.7522915601730347,0 days 00:29:53.300000,0 days 00:29:58,11/18/21,211118_001_others.wav
135," The source of the money, how do I go through? It is in some cases.",0.778656005859375,0 days 00:29:59.700000,0 days 00:30:05.900000,11/18/21,211118_001_others.wav
136," I already started to research on that even boost. And I, at the end of the day. It's essentially just called them. Like, you get the final decision in, like, June July. I just held up like a plate. But I mean, it's one thing I'm sort of afraid of is many, many, many cases of fresh Pride through. And I do believe that with all those people in charge. So I could also, I also plan on",0.9128419756889343,0 days 00:30:08.200000,0 days 00:31:01.300000,11/18/21,211118_001_others.wav
137," I mean, I will probably not do it next week even though that's going to be like the best advice but not going on Monday Tuesday. Everybody will just make sure to set up a meeting with people at the scholars community and its financial aid office in thinking. So don't wait for you, no different school, but maybe they can get me in touch with Sam fundations. Some people who sort of would be down for something like this and I could like, you know, maybe a player who's just like real like supposed perfect.",0.9449975490570068,0 days 00:31:04.200000,0 days 00:31:40.900000,11/18/21,211118_001_others.wav
138, How to get like a better. I got to make sure I called at the MC Tenaya.,0.8735570311546326,0 days 00:31:42.900000,0 days 00:31:47.200000,11/18/21,211118_001_others.wav
139," If I stayed here, I probably would be it.",0.920678973197937,0 days 00:31:53.700000,0 days 00:31:55.800000,11/18/21,211118_001_others.wav
140, Rats.,0.3409539759159088,0 days 00:31:57.800000,0 days 00:31:58.400000,11/18/21,211118_001_others.wav
141," You been doing easy Shetty that I actually possible already like most of the difficult classes that I would have to. But I think I have not them. I mean, there is my device like I am",0.9274893999099731,0 days 00:32:01.200000,0 days 00:32:15.300000,11/18/21,211118_001_others.wav
142," And worried the most, if I got 25 us think is gas money. I just stayed away. I hate anything else because you like just like that's like a",0.876340925693512,0 days 00:32:16.500000,0 days 00:32:42.200000,11/18/21,211118_001_others.wav
143," You know exactly which is just like you got them. Well, that's really interesting is different moving parts, and I'm hungry as you want to eat.",0.8915917873382568,0 days 00:32:43.700000,0 days 00:33:03.200000,11/18/21,211118_001_others.wav
144, I will be cooking out just right. No grilled cheese sandwich in 25 minutes. Half an hour.,0.8613612651824951,0 days 00:33:08.100000,0 days 00:33:48.500000,11/18/21,211118_001_others.wav
145, Are you working tonight?,0.9444607496261597,0 days 00:33:50.200000,0 days 00:33:51.300000,11/18/21,211118_001_others.wav
146, My room. Conditional.,0.7919020652770996,0 days 00:33:55.700000,0 days 00:33:57.700000,11/18/21,211118_001_others.wav
147, Of course.,0.9390151500701904,0 days 00:34:07.900000,0 days 00:34:08.600000,11/18/21,211118_001_others.wav
148," Oh, Lord.",0.9229840040206909,0 days 00:34:25.700000,0 days 00:34:26.500000,11/18/21,211118_001_others.wav
